id,name,is_company,ref,lang,customer_rank,supplier_rank,country_id,zip,city,street,phone,mobile,email,vat,company_registry,comment
soc_47229078,Inddigo,1,411265,fr_FR,1,0,France,73000,Chambery,367 Avenue Du Grand Arietaz,,,,FR95402250427,40225042700026,
soc_47138338,Kalixia,1,411264,fr_FR,1,0,France,75015,Paris,143 Rue Blomet,,06.01.88.79.53,,FR06509626552,50962655200038,
soc_47102682,"Télécom Paris, Établissement de l'IMT",1,411263,fr_FR,1,0,France,91120,Palaiseau,19 Place Marguerite Perey,01.75.31.92.64,,,FR55180092025,180 092 025 00162,
soc_46741772,Semidao,1,411260,fr_FR,1,0,France,38090,Villefontaine,13 Avenue Benoit Frachon,04.74.96.32.20,06.29.73.84.87,,FR51309788719,30978871900057,
soc_46006562,HUTTOPIA TRAVEL,1,411256,fr_FR,1,0,France,69290,Saint Genis les Ollières,Rue du chapoly,07.50.71.88.01,07.50.71.88.01,,,50782303700019,form-search1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_45408364,CHAMBRE D AGRICULTURE NORMANDIE,1,411253,fr_FR,1,0,France,14000,Caen,6 rue des Roquemonts,07.60.49.60.59,07.60.49.60.59,,,,autre || inter-distanciel || https://www.formations-analytics.com/contact/
soc_42595562,France Travail DR Occitanie,1,411246,fr_FR,1,0,France,31130,Balma,33-43  Bat E 33 avenue Georges Pompidou,06.73.59.53.34,06.73.59.53.34,,,13000548116990,"form-bq1, form-bq2 || inter-distanciel || https://www.formations-analytics.com/contact/"
soc_42486400,Covea Protection Juridique,1,411244,fr_FR,1,0,France,72100,Le Mans,160 Rue Henri Champion,,,,FR74442935227,44293522700292,
soc_42441892,Association Calypso,1,411243,fr_FR,1,0,France,85700,POUZAUGES,6 impasse de la Serge,06.73.24.77.57,06.73.24.77.57,,,,form-gs3 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_42158182,Régie de quartiers Noailles-Belsunce,1,411242,fr_FR,1,0,France,13001,Marseille,39 A rue nationale,,,,,,"form-gs1, form-gs2 || inter-distanciel || https://www.formations-analytics.com/contact/"
soc_41810762,GMBA&CO,1,411236,fr_FR,1,0,France,75008,PARIS,10 Place Madeleine,01.86.90.60.24,01.86.90.60.24,,,,form-ma1 || inter-distanciel || https://www.formations-analytics.com/contact/
soc_41428902,Recyclivre,1,411228,fr_FR,1,0,France,75009,Paris,7 rue de la Boule Rouge,01.83.62.12.21,01.83.62.12.21,,FR70508610466,50861046600031,form-ga2 || inter-distanciel || https://www.formations-analytics.com/contact/
